ASV;assignmentQual;taxID;superkingdom;phylum;class;order;family;genus;species
ASV_244;Low;60550;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia pyrrocinia
ASV_245;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_246;Low;2578114;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium sp. KBS0727
ASV_247;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_248;Low;2916754;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Sabulilitoribacter;Sabulilitoribacter sp. BrNp1-15
ASV_249;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_250;Low;1543721;Bacteria;Pseudomonadota;Gammaproteobacteria;;;Sedimenticola;Sedimenticola thiotaurini
ASV_251;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_253;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_254;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_255;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_256;Low;1007128;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;Magnetospirillum sp. pMbN1
ASV_257;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_258;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_261;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_263;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_264;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_265;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_266;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_267;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_268;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_269;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_270;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_271;Low;100756;Eukaryota;Basidiomycota;Agaricomycetes;Russulales;Hericiaceae;Hericium;Hericium coralloides
ASV_272;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_273;Low;1922226;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae;Anderseniella;Anderseniella sp. Alg231-50
ASV_274;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_275;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_277;Low;1978339;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;;Chromatiaceae bacterium 2141T.STBD.0c.01a
ASV_278;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_279;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_280;Low;35684;Eukaryota;;Dictyochophyceae;Pedinellales;;Pseudopedinella;Pseudopedinella elastica
ASV_281;High-MH;None;Eukaryota;;Phaeophyceae;Fucales;Fucaceae;Fucus;NA
ASV_284;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_286;Low;2571749;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium sp. EMRT-2
ASV_287;Low;1978339;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;;Chromatiaceae bacterium 2141T.STBD.0c.01a
ASV_288;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_289;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_290;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_291;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_292;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_293;Low;2571749;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium sp. EMRT-2
ASV_294;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_295;Low;500057;Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans
ASV_297;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_298;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_299;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_301;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_302;Low;1913989;Bacteria;Pseudomonadota;Gammaproteobacteria;;;;Gammaproteobacteria bacterium
ASV_303;Low;1702228;Eukaryota;Oomycota;;;;Haptoglossa;Haptoglossa sp. DM2 4/12
ASV_305;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_306;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_307;High;2720067;Eukaryota;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Cunea;Cunea russae
ASV_308;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_309;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_311;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_312;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_313;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_315;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_317;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_318;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_319;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_320;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_322;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_323;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_324;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_325;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_326;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_328;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_329;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_330;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_331;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_332;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_333;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_334;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_335;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_336;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_339;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_340;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_341;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_342;Low;596104;Eukaryota;Oomycota;;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora multivora
ASV_343;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_344;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_345;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_346;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_347;Low;1977087;Bacteria;Pseudomonadota;;;;;Pseudomonadota bacterium
ASV_348;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_349;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_350;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_351;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_353;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_354;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_355;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_356;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_357;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_358;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_359;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_361;Low;643143;Eukaryota;Oomycota;;Pythiales;Pythiaceae;Elongisporangium;Elongisporangium senticosum
ASV_362;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_363;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_364;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_365;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_367;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_368;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_369;Low;60550;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia pyrrocinia
ASV_370;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_371;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_372;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_373;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_374;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_375;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_377;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_378;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_379;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_381;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_382;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_384;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_385;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_386;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_387;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_389;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_392;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_394;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_396;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_398;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_399;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_400;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_401;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_402;None;None;NA;NA;NA;NA;NA;NA;NA
